Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C14, C2, C4, C7, C9",0603,8,0.1u,
"C11, C15, C21, C28, C3, C33",CP_EIA-3216-18_Kemet-A,6,1uF,
C12,1206,1,10uF,
"C16, C17, C20, C25, C27, C5, C8",0603,7,100nF,
C18,0805,1,10uF,
C19,0603,1,68pF,
"C22, C23",0603,2,2.7nF,
"C24, C26",0805,2,10uF,C96123
C6,1206,1,47uF,C96123
"D1, D2",LTL4221NHBP,2,LED,DNF
"D3, D4",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,DNF
"H3, H4, H5, H6",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,DNF
J1,PinSocket_2x32_P2.54mm_Vertical,1,BUS,DNF
J2,SJ3523SMTTR,1,SJ-3523-SMT-TR,
J5,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,DNF
"R1, R4, R5, R6",0603,4,0R,
"R10, R12, R16, R17",0603,4,4K7,C23179
"R11, R14, R15, R18, R19, R3",0603,6,470R,C23179
"R13, R20",0603,2,1K,C23179
R2,0603,1,33R,
"R25, R7",0603,2,3K3,C25890
"R8, R9",0603,2,1K,
"RV1, RV2, RV3, RV4",Potentiometer_Piher_PT-10-H01_Horizontal,4,47K,
U1,PLCC-44_THT-Socket,1,ATF1502AS,DNF
"U2, U3, U6, U8",SOIC-8_5.3x5.3mm_P1.27mm,4,MCP6002-xSN,
U4,SOIC-24W_7.5x15.4mm_P1.27mm,1,YMF262-M,
U5,DIP-28_W15.24mm_Socket,1,SP0256-AL2,
U7,SOIC-16W_5.3x10.2mm_P1.27mm,1,YAC512-M,
"X1, X2",Oscillator_DIP-8,2,CXO_DIP8,DNF
